Store,Date,Sales,Prophet_Forecast,XGB_Forecast,Ensemble_Forecast,ABC_Class,XYZ_Class,Prophet_Error_pct,XGB_Error_pct
30,2015-01-02,4020,3756.0162057446782,4218.3403,3982.565864608055,B,Y,-6.566761051127407,4.933838308457707
30,2015-01-03,3701,4525.385159382147,3900.7346,4219.291722126224,B,Y,22.27465980497561,5.396773844906775
30,2015-01-05,6620,6209.406533180404,7218.1597,6703.71926457381,B,Y,-6.202318229903262,9.035645015105743
30,2015-01-06,6398,6042.78340491597,5828.924,5937.987276333321,B,Y,-5.551994296405594,-8.894592060018756
30,2015-01-07,5043,5055.977494069648,5119.987,5087.343654546083,B,Y,0.2573367850416011,1.5266111441602237
30,2015-01-08,4374,5518.628937662813,4942.34,5236.2338302987,B,Y,26.168928615976515,12.993598536808419
30,2015-01-09,3934,4839.538919716006,4776.2554,4808.528509526532,B,Y,23.01827452252175,21.409644128113882
30,2015-01-10,3563,4117.505986957564,3448.4016,3789.629130672608,B,Y,15.562896069535906,-3.2163457760314302
30,2015-01-12,6317,5908.39903115305,6242.7725,6072.249880030517,B,Y,-6.468275587255823,-1.1750435333227793
30,2015-01-13,6306,5800.382717567102,5192.9126,5502.708100097308,B,Y,-8.018034925989499,-17.65124326038694
30,2015-01-14,4039,4874.587694041539,5095.5483,4982.86357782987,B,Y,20.68798450214259,26.15866055954445
30,2015-01-15,5266,5388.762615952216,4533.378,4969.604074684552,B,Y,2.3312308384393474,-13.912305355108249
30,2015-01-16,4517,4762.767296185732,5010.0303,4883.931972350589,B,Y,5.440940805528724,10.914994465353118
30,2015-01-17,4375,4089.2434912820295,4106.054,4097.481035166716,B,Y,-6.531577342125041,-6.147337142857141
30,2015-01-19,3254,4202.568677002426,4271.261,4236.229527767083,B,Y,29.15085055323988,31.26186232329442
30,2015-01-20,3229,4122.615910480421,3785.133,3957.241362210966,B,Y,27.67469527656925,17.223072158563017
30,2015-01-21,3025,3221.659202695471,3580.3105,3397.406757419228,B,Y,6.501130667618872,18.357371900826447
30,2015-01-22,3474,3746.6875501720806,3523.7654,3637.450463673438,B,Y,7.849382561084646,1.4325100748416875
30,2015-01-23,2963,3129.8420910614464,3536.407,3329.0684402185434,B,Y,5.630850187696469,19.352244346945668
30,2015-01-24,2724,4194.766853931431,3296.1882,3754.442220109398,B,Y,53.99290946884842,21.005440528634363
30,2015-01-26,5369,6019.055997862187,5796.351,5909.925321092865,B,Y,12.107580515220466,7.959601415533612
30,2015-01-27,6566,5919.452426467349,4725.6313,5334.4520505282435,B,Y,-9.846901820478996,-28.02876484922327
30,2015-01-28,4831,4998.639037361299,5015.452,5006.877783724747,B,Y,3.4700690822045,3.818091492444633
30,2015-01-29,6020,5493.906933701636,4749.483,5129.121731447607,B,Y,-8.739087480039265,-21.104933554817272
30,2015-01-30,5818,4850.605553300282,5397.4814,5118.587555644334,B,Y,-16.627611665515953,-7.227889309040913
30,2015-01-31,4736,4152.393203577039,3964.7715,4060.4541645589475,B,Y,-12.322778640687531,-16.284385557432437
30,2015-02-02,6585,5910.445399523134,7174.7036,6529.961595179345,B,Y,-10.243805626072373,8.955255884586178
30,2015-02-03,6609,5785.02112229166,5976.6606,5878.928964948036,B,Y,-12.467527276567413,-9.56785292782569
30,2015-02-04,4333,4845.163887180996,5752.1245,5289.595877617539,B,Y,11.820075863858676,32.75154627279021
30,2015-02-05,5010,5318.2733841321215,4918.566,5122.407383104937,B,Y,6.153161359922584,-1.8250299401197645
30,2015-02-06,4185,4662.5241664987225,5276.5615,4963.416873936261,B,Y,11.410374348834468,26.08271206690561
30,2015-02-07,3631,3956.907932767527,3764.1157,3862.435213072172,B,Y,8.975707319403117,3.6660892316166303
30,2015-02-09,3453,3983.592062068728,4174.8823,4077.3287690362235,B,Y,15.366118218034403,20.905945554590218
30,2015-02-10,4182,3864.917751220216,3810.0674,3838.0397915553804,B,Y,-7.582071945953708,-8.893653754184601
30,2015-02-11,4030,2940.854180467871,3948.9487,3434.844159229214,B,Y,-27.025950856876648,-2.0111985111662554
30,2015-02-12,1601,3427.813951300377,3862.692,3640.914403568092,B,Y,114.10455660839331,141.26745783885073
30,2015-02-13,3784,2795.682088347793,3967.2307,3369.768409198493,B,Y,-26.11833804577714,4.842248942917549
30,2015-02-14,4044,3828.803078629884,3316.0261,3577.5303220829633,B,Y,-5.321387768796139,-18.00133283877349
30,2015-02-17,7178,5528.946306538125,4222.793,4888.900525458704,B,Y,-22.97372100114064,-41.17033992755643
30,2015-02-18,4989,4638.281664195745,5435.533,5028.953533559919,B,Y,-7.0298323472490445,8.950350771697742
30,2015-02-19,6573,5151.364729537285,4656.0186,4908.633498220599,B,Y,-21.628408192038876,-29.164481971702415
30,2015-02-20,5019,4549.344321407453,5357.0747,4945.151167724811,B,Y,-9.35755486337013,6.73589758916119
30,2015-02-21,3972,3899.4031415695754,3435.599,3672.12822477932,B,Y,-1.827715469043923,-13.504556898288012
30,2015-02-23,3143,4021.932422670615,3851.1245,3938.232530986364,B,Y,27.96476050495116,22.530209990454978
30,2015-02-24,3518,3948.590708939547,3502.1938,3729.8457447584897,B,Y,12.239644938588597,-0.44929505400795877
30,2015-02-25,3327,3073.153105090843,3549.7812,3306.712060049262,B,Y,-7.629903664236762,6.696158701532909
30,2015-02-26,4683,3589.431986026683,3657.712,3622.890795690838,B,Y,-23.35186875877252,-21.893828742259235
30,2015-02-27,4162,2990.5700654928087,4207.602,3586.944282226086,B,Y,-28.145841770956064,1.0956751561749125
30,2015-02-28,4900,4033.171089408499,3859.1157,3947.8798627910714,B,Y,-17.690385930438797,-21.242536734693882
30,2015-03-02,7216,5854.726444564354,6762.436,6299.525434463863,B,Y,-18.864655701713495,-6.285532150776057
30,2015-03-03,6301,5759.071638320061,5854.1084,5805.64188245313,B,Y,-8.600672300903655,-7.092391683859704
30,2015-03-04,5547,4861.124647924804,5644.7026,5245.096238290291,B,Y,-12.364798126468292,1.7613592933116933
